NITG;filter;date;value
B48E1643;1;15/04/2015 11:30;0,53
B48E1643;1;30/10/2013 14:40;0,51
B48E1643;1;10/10/2012 14:17;0,50
B48E1643;1;29/05/2012 13:00;0,54
B48E1643;1;10/11/2011 11:48;0,61
B48E1643;1;02/08/2011 13:13;0,84
B48E1643;1;01/06/2011 10:50;0,64
B48E1643;2;15/04/2015 11:30;0,70
B48E1643;2;30/10/2013 14:40;0,62
B48E1643;2;10/10/2012 14:16;0,63
B48E1643;2;29/05/2012 12:59;0,65
B48E1643;2;10/11/2011 14:47;0,72
B48E1643;2;02/08/2011 12:47;0,78
B48E1643;2;01/06/2011 10:49;0,78
B48B1496;1;25/09/2014 15:00;dry
B48B1496;1;30/10/2013 15:45;dry
B48B1496;1;30/07/2013 09:48;dry
B48B1496;1;10/10/2012 15:35;1,40
B48B1496;1;29/05/2012 13:49;1,41
B48B1496;1;10/11/2011 12:52;1,38
B48B1496;1;02/08/2011 09:41;1,48
B48B1496;1;01/06/2011 10:28;dry
B48B1496;1;07/04/2011 11:32;1,41
B48B1496;2;25/09/2014 15:00;1,50
B48B1496;2;30/10/2013 15:45;1,42
B48B1496;2;30/07/2013 09:48;1,54
B48B1496;2;10/10/2012 15:26;1,26
B48B1496;2;29/05/2012 13:40;1,29
B48B1496;2;10/11/2011 12:54;1,34
B48B1496;2;02/08/2011 09:42;1,41
B48B1496;2;01/06/2011 10:28;1,55
B48B1496;2;07/04/2011 11:32;1,31
B48B1492;1;11/11/2015 10:22;dry
B48B1492;1;06/03/2014 12:00;dry
B48B1492;1;09/10/2013 10:37;dry
B48B1492;1;30/07/2013 09:10;dry
B48B1492;1;29/08/2012 13:45;dry
B48B1492;1;30/05/2012 12:21;dry
B48B1492;1;02/08/2011 15:30;dry
B48B1492;1;29/06/2011 13:35;dry
B48B1492;1;07/04/2011 15:35;dry
B48B1492;2;06/03/2014 12:00;1,81
B48B1492;2;09/10/2013 10:38;19,00
B48B1492;2;30/07/2013 09:10;1,90
B48B1492;2;29/08/2012 13:50;1,87
B48B1492;2;30/05/2012 12:21;1,88
B48B1492;2;11/11/2011 10:22;1,96
B48B1492;2;02/08/2011 15:33;1,90
B48B1492;2;07/04/2011 15:36;1,88
B48E1644;1;06/03/2014 13:25;0,72
B48E1644;1;09/10/2013 12:34;0,87
B48E1644;1;10/10/2012 13:52;0,71
B48E1644;1;29/05/2012 10:51;0,87
B48E1644;1;10/11/2011 11:20;0,95
B48E1644;1;02/08/2011 13:12;0,96
B48E1644;1;01/06/2011 11:17;0,97
B48E1644;1;07/04/2011 10:04;0,90
B48E1644;2;30/07/2013 11:55;0,83
B48E1644;2;09/10/2013 12:35;0,79
B48E1644;2;07/04/2011 10:05;0,84
B48E1644;2;01/06/2011 11:18;0,87
B48E1644;2;02/08/2011 13:13;0,84
B48E1644;2;10/11/2011 11:21;0,88
B48E1644;2;29/05/2012 11:34;1,46
B48E1644;2;10/10/2012 13:53;0,67
