time,value,status_quality_control,censor_reason,censor_limit
2025-06-01T00:05:06+0200,0.533,goedgekeurd,,
2025-06-01T01:05:06+0200,0.532,goedgekeurd,,
2025-06-01T02:05:05+0200,0.538,goedgekeurd,,
2025-06-01T03:05:06+0200,0.532,goedgekeurd,,
2025-06-01T04:05:06+0200,0.534,goedgekeurd,,
2025-06-01T05:05:06+0200,0.535,goedgekeurd,,
2025-06-01T06:05:06+0200,0.534,goedgekeurd,,
2025-06-01T07:05:06+0200,0.533,goedgekeurd,,
2025-06-01T08:05:06+0200,0.532,goedgekeurd,,
2025-06-01T09:05:06+0200,0.531,goedgekeurd,,
2025-06-01T10:05:06+0200,0.528,goedgekeurd,,
2025-06-01T11:05:06+0200,0.528,goedgekeurd,,
2025-06-01T12:05:06+0200,0.529,goedgekeurd,,
2025-06-01T13:05:07+0200,0.530,goedgekeurd,,
2025-06-01T14:05:07+0200,0.527,goedgekeurd,,
2025-06-01T15:05:07+0200,0.529,goedgekeurd,,
2025-06-01T16:05:07+0200,0.526,goedgekeurd,,
2025-06-01T17:05:07+0200,0.530,goedgekeurd,,
2025-06-01T18:05:07+0200,0.531,goedgekeurd,,
2025-06-01T19:05:07+0200,0.524,goedgekeurd,,
2025-06-01T20:05:07+0200,0.527,goedgekeurd,,
2025-06-01T21:05:07+0200,0.524,goedgekeurd,,
2025-06-01T22:05:07+0200,0.524,goedgekeurd,,
2025-06-01T23:05:07+0200,0.521,goedgekeurd,,
2025-06-02T00:05:08+0200,0.518,goedgekeurd,,
2025-06-02T01:05:07+0200,0.520,goedgekeurd,,
2025-06-02T02:05:08+0200,0.522,goedgekeurd,,
2025-06-02T03:05:07+0200,0.522,goedgekeurd,,
2025-06-02T04:05:07+0200,0.522,goedgekeurd,,
2025-06-02T05:05:08+0200,0.525,goedgekeurd,,
2025-06-02T06:05:08+0200,0.526,goedgekeurd,,
2025-06-02T07:05:08+0200,0.520,goedgekeurd,,
2025-06-02T08:05:08+0200,0.525,goedgekeurd,,
2025-06-02T09:05:08+0200,0.520,goedgekeurd,,
2025-06-02T10:05:08+0200,0.517,goedgekeurd,,
2025-06-02T11:05:08+0200,0.514,goedgekeurd,,
2025-06-02T12:05:08+0200,0.512,goedgekeurd,,
2025-06-02T13:05:08+0200,0.514,goedgekeurd,,
2025-06-02T14:05:09+0200,0.519,goedgekeurd,,
2025-06-02T15:05:09+0200,0.519,goedgekeurd,,
2025-06-02T16:05:09+0200,0.522,goedgekeurd,,
2025-06-02T17:05:08+0200,0.522,goedgekeurd,,
2025-06-02T18:05:08+0200,0.523,goedgekeurd,,
2025-06-02T19:05:08+0200,0.524,goedgekeurd,,
2025-06-02T20:05:09+0200,0.524,goedgekeurd,,
2025-06-02T21:05:09+0200,0.522,goedgekeurd,,
2025-06-02T22:05:10+0200,0.520,goedgekeurd,,
2025-06-02T23:05:09+0200,0.516,goedgekeurd,,
2025-06-03T00:05:09+0200,0.517,goedgekeurd,,
2025-06-03T01:05:09+0200,0.518,goedgekeurd,,
2025-06-03T02:05:09+0200,0.519,goedgekeurd,,
2025-06-03T03:05:09+0200,0.518,goedgekeurd,,
2025-06-03T04:05:10+0200,0.524,goedgekeurd,,
2025-06-03T05:05:10+0200,0.525,goedgekeurd,,
2025-06-03T06:05:10+0200,0.523,goedgekeurd,,
2025-06-03T07:05:10+0200,0.526,goedgekeurd,,
2025-06-03T08:05:10+0200,0.526,goedgekeurd,,
2025-06-03T09:05:10+0200,0.526,goedgekeurd,,
2025-06-03T10:05:11+0200,0.526,goedgekeurd,,
2025-06-03T11:05:11+0200,0.526,goedgekeurd,,
2025-06-03T12:05:10+0200,0.528,goedgekeurd,,
2025-06-03T13:05:10+0200,0.527,goedgekeurd,,
2025-06-03T14:05:10+0200,0.529,goedgekeurd,,
2025-06-03T15:05:10+0200,0.528,goedgekeurd,,
2025-06-03T16:05:10+0200,0.530,goedgekeurd,,
2025-06-03T17:05:11+0200,0.531,goedgekeurd,,
2025-06-03T18:05:11+0200,0.530,goedgekeurd,,
2025-06-03T19:05:11+0200,0.532,goedgekeurd,,
2025-06-03T20:05:11+0200,0.532,goedgekeurd,,
2025-06-03T21:05:11+0200,0.528,goedgekeurd,,
2025-06-03T22:05:11+0200,0.528,goedgekeurd,,
2025-06-03T23:05:11+0200,0.524,goedgekeurd,,
2025-06-04T00:05:11+0200,0.526,goedgekeurd,,
2025-06-04T01:05:11+0200,0.523,goedgekeurd,,
2025-06-04T02:05:11+0200,0.525,goedgekeurd,,
2025-06-04T03:05:11+0200,0.521,goedgekeurd,,
2025-06-04T04:05:11+0200,0.524,goedgekeurd,,
2025-06-04T05:05:11+0200,0.522,goedgekeurd,,
2025-06-04T06:05:11+0200,0.524,goedgekeurd,,
2025-06-04T07:05:12+0200,0.526,goedgekeurd,,
2025-06-04T08:05:12+0200,0.523,goedgekeurd,,
2025-06-04T09:05:12+0200,0.527,goedgekeurd,,
2025-06-04T10:05:12+0200,0.521,goedgekeurd,,
2025-06-04T11:05:12+0200,0.525,goedgekeurd,,
2025-06-04T12:05:12+0200,0.522,goedgekeurd,,
2025-06-04T13:05:12+0200,0.524,goedgekeurd,,
2025-06-04T14:05:12+0200,0.528,goedgekeurd,,
2025-06-04T15:05:13+0200,0.525,goedgekeurd,,
2025-06-04T16:05:12+0200,0.524,goedgekeurd,,
2025-06-04T17:05:12+0200,0.525,goedgekeurd,,
2025-06-04T18:05:13+0200,0.527,goedgekeurd,,
2025-06-04T19:05:13+0200,0.525,goedgekeurd,,
2025-06-04T20:05:12+0200,0.527,goedgekeurd,,
2025-06-04T21:05:12+0200,0.525,goedgekeurd,,
2025-06-04T22:05:13+0200,0.524,goedgekeurd,,
2025-06-04T23:05:13+0200,0.522,goedgekeurd,,
2025-06-05T00:05:13+0200,0.521,goedgekeurd,,
2025-06-05T01:05:13+0200,0.520,goedgekeurd,,
2025-06-05T02:05:13+0200,0.520,goedgekeurd,,
2025-06-05T03:05:13+0200,0.522,goedgekeurd,,
2025-06-05T04:05:13+0200,0.521,goedgekeurd,,
2025-06-05T05:05:13+0200,0.518,goedgekeurd,,
2025-06-05T06:05:13+0200,0.515,goedgekeurd,,
2025-06-05T07:05:13+0200,0.520,goedgekeurd,,
2025-06-05T08:05:13+0200,0.519,goedgekeurd,,
2025-06-05T09:05:13+0200,0.520,goedgekeurd,,
2025-06-05T10:05:14+0200,0.519,goedgekeurd,,
2025-06-05T11:05:13+0200,0.520,goedgekeurd,,
2025-06-05T12:05:13+0200,0.521,goedgekeurd,,
2025-06-05T13:05:14+0200,0.523,goedgekeurd,,
2025-06-05T14:05:14+0200,0.523,goedgekeurd,,
2025-06-05T15:05:14+0200,0.523,goedgekeurd,,
2025-06-05T16:05:14+0200,0.527,goedgekeurd,,
2025-06-05T17:05:14+0200,0.528,goedgekeurd,,
2025-06-05T18:05:14+0200,0.530,goedgekeurd,,
2025-06-05T19:05:14+0200,0.533,goedgekeurd,,
2025-06-05T20:05:14+0200,0.529,goedgekeurd,,
2025-06-05T21:05:15+0200,0.527,goedgekeurd,,
2025-06-05T22:05:14+0200,0.524,goedgekeurd,,
2025-06-05T23:05:14+0200,0.528,goedgekeurd,,
2025-06-06T00:05:15+0200,0.528,goedgekeurd,,
2025-06-06T01:05:15+0200,0.532,goedgekeurd,,
2025-06-06T02:05:15+0200,0.529,goedgekeurd,,
2025-06-06T03:05:15+0200,0.533,goedgekeurd,,
2025-06-06T04:05:15+0200,0.528,goedgekeurd,,
2025-06-06T05:05:15+0200,0.532,goedgekeurd,,
2025-06-06T06:05:15+0200,0.529,goedgekeurd,,
2025-06-06T07:05:15+0200,0.524,goedgekeurd,,
2025-06-06T08:05:15+0200,0.524,goedgekeurd,,
2025-06-06T09:05:15+0200,0.525,goedgekeurd,,
2025-06-06T10:05:15+0200,0.525,goedgekeurd,,
2025-06-06T11:05:15+0200,0.519,goedgekeurd,,
2025-06-06T12:05:15+0200,0.521,goedgekeurd,,
2025-06-06T13:05:16+0200,0.525,goedgekeurd,,
2025-06-06T14:05:16+0200,0.521,goedgekeurd,,
2025-06-06T15:05:17+0200,0.520,goedgekeurd,,
2025-06-06T16:05:16+0200,0.523,goedgekeurd,,
2025-06-06T17:05:16+0200,0.518,goedgekeurd,,
2025-06-06T18:05:17+0200,0.518,goedgekeurd,,
2025-06-06T19:05:16+0200,0.526,goedgekeurd,,
2025-06-06T20:05:16+0200,0.525,goedgekeurd,,
2025-06-06T21:05:17+0200,0.525,goedgekeurd,,
2025-06-06T22:05:16+0200,0.522,goedgekeurd,,
2025-06-06T23:05:16+0200,0.518,goedgekeurd,,
2025-06-07T00:05:17+0200,0.521,goedgekeurd,,
2025-06-07T01:05:17+0200,0.523,goedgekeurd,,
2025-06-07T02:05:17+0200,0.523,goedgekeurd,,
2025-06-07T03:05:17+0200,0.525,goedgekeurd,,
2025-06-07T04:05:17+0200,0.524,goedgekeurd,,
2025-06-07T05:05:17+0200,0.523,goedgekeurd,,
2025-06-07T06:05:18+0200,0.518,goedgekeurd,,
2025-06-07T07:05:18+0200,0.519,goedgekeurd,,
2025-06-07T08:05:18+0200,0.519,goedgekeurd,,
2025-06-07T09:05:17+0200,0.521,goedgekeurd,,
2025-06-07T10:05:18+0200,0.523,goedgekeurd,,
2025-06-07T11:05:18+0200,0.521,goedgekeurd,,
2025-06-07T12:05:18+0200,0.524,goedgekeurd,,
2025-06-07T13:05:18+0200,0.527,goedgekeurd,,
2025-06-07T14:05:18+0200,0.526,goedgekeurd,,
2025-06-07T15:05:18+0200,0.529,goedgekeurd,,
2025-06-07T16:05:18+0200,0.524,goedgekeurd,,
2025-06-07T17:05:18+0200,0.528,goedgekeurd,,
2025-06-07T18:05:18+0200,0.529,goedgekeurd,,
2025-06-07T19:05:19+0200,0.527,goedgekeurd,,
2025-06-07T20:05:19+0200,0.528,goedgekeurd,,
2025-06-07T21:05:19+0200,0.529,goedgekeurd,,
2025-06-07T22:05:19+0200,0.531,goedgekeurd,,
2025-06-07T23:05:18+0200,0.528,goedgekeurd,,
2025-06-08T00:05:18+0200,0.528,goedgekeurd,,
2025-06-08T01:05:19+0200,0.531,goedgekeurd,,
2025-06-08T02:05:19+0200,0.533,goedgekeurd,,
2025-06-08T03:05:19+0200,0.534,goedgekeurd,,
2025-06-08T04:05:19+0200,0.533,goedgekeurd,,
2025-06-08T05:05:19+0200,0.529,goedgekeurd,,
2025-06-08T06:05:20+0200,0.523,goedgekeurd,,
2025-06-08T07:05:19+0200,0.522,goedgekeurd,,
2025-06-08T08:05:19+0200,0.520,goedgekeurd,,
2025-06-08T09:05:20+0200,0.518,goedgekeurd,,
2025-06-08T10:05:20+0200,0.520,goedgekeurd,,
2025-06-08T11:05:20+0200,0.518,goedgekeurd,,
2025-06-08T12:05:20+0200,0.514,goedgekeurd,,
2025-06-08T13:05:20+0200,0.515,goedgekeurd,,
2025-06-08T14:05:20+0200,0.509,goedgekeurd,,
2025-06-08T15:05:20+0200,0.510,goedgekeurd,,
2025-06-08T16:05:20+0200,0.513,goedgekeurd,,
2025-06-08T17:05:20+0200,0.514,goedgekeurd,,
2025-06-08T18:05:20+0200,0.513,goedgekeurd,,
2025-06-08T19:05:20+0200,0.512,goedgekeurd,,
2025-06-08T20:05:20+0200,0.511,goedgekeurd,,
2025-06-08T21:05:21+0200,0.516,goedgekeurd,,
2025-06-08T22:05:20+0200,0.512,goedgekeurd,,
2025-06-08T23:05:20+0200,0.513,goedgekeurd,,
2025-06-09T00:05:21+0200,0.516,goedgekeurd,,
2025-06-09T01:05:21+0200,0.520,goedgekeurd,,
2025-06-09T02:05:21+0200,0.524,goedgekeurd,,
2025-06-09T03:05:21+0200,0.524,goedgekeurd,,
2025-06-09T04:05:22+0200,0.525,goedgekeurd,,
2025-06-09T05:05:21+0200,0.526,goedgekeurd,,
2025-06-09T06:05:22+0200,0.526,goedgekeurd,,
2025-06-09T07:05:21+0200,0.526,goedgekeurd,,
2025-06-09T08:05:21+0200,0.528,goedgekeurd,,
2025-06-09T09:05:22+0200,0.526,goedgekeurd,,
2025-06-09T10:05:22+0200,0.530,goedgekeurd,,
2025-06-09T11:05:22+0200,0.529,goedgekeurd,,
2025-06-09T12:05:22+0200,0.531,goedgekeurd,,
