time,value,status_quality_control,censor_reason,censor_limit
2025-06-01T00:09:40+0200,0.523,goedgekeurd,,
2025-06-01T01:09:40+0200,0.526,goedgekeurd,,
2025-06-01T02:09:40+0200,0.526,goedgekeurd,,
2025-06-01T03:09:40+0200,0.520,goedgekeurd,,
2025-06-01T04:09:41+0200,0.523,goedgekeurd,,
2025-06-01T05:09:40+0200,0.525,goedgekeurd,,
2025-06-01T06:09:40+0200,0.519,goedgekeurd,,
2025-06-01T07:09:41+0200,0.518,goedgekeurd,,
2025-06-01T08:09:41+0200,0.514,goedgekeurd,,
2025-06-01T09:09:41+0200,0.512,goedgekeurd,,
2025-06-01T10:09:41+0200,0.510,goedgekeurd,,
2025-06-01T11:09:41+0200,0.511,goedgekeurd,,
2025-06-01T12:09:41+0200,0.508,goedgekeurd,,
2025-06-01T13:09:42+0200,0.511,goedgekeurd,,
2025-06-01T14:09:41+0200,0.506,goedgekeurd,,
2025-06-01T15:09:42+0200,0.508,goedgekeurd,,
2025-06-01T16:09:42+0200,0.508,goedgekeurd,,
2025-06-01T17:09:42+0200,0.514,goedgekeurd,,
2025-06-01T18:09:44+0200,0.515,goedgekeurd,,
2025-06-01T19:09:44+0200,0.514,goedgekeurd,,
2025-06-01T20:09:44+0200,0.512,goedgekeurd,,
2025-06-01T21:09:43+0200,0.515,goedgekeurd,,
2025-06-01T22:09:44+0200,0.511,goedgekeurd,,
2025-06-01T23:09:44+0200,0.505,goedgekeurd,,
2025-06-02T00:09:44+0200,0.504,goedgekeurd,,
2025-06-02T01:09:45+0200,0.505,goedgekeurd,,
2025-06-02T02:09:44+0200,0.506,goedgekeurd,,
2025-06-02T03:09:45+0200,0.504,goedgekeurd,,
2025-06-02T04:09:45+0200,0.503,goedgekeurd,,
2025-06-02T05:09:45+0200,0.506,goedgekeurd,,
2025-06-02T06:09:45+0200,0.503,goedgekeurd,,
2025-06-02T07:09:45+0200,0.500,goedgekeurd,,
2025-06-02T08:09:45+0200,0.499,goedgekeurd,,
2025-06-02T09:09:45+0200,0.497,goedgekeurd,,
2025-06-02T10:09:46+0200,0.494,goedgekeurd,,
2025-06-02T11:09:47+0200,0.492,goedgekeurd,,
2025-06-02T12:09:46+0200,0.490,goedgekeurd,,
2025-06-02T13:09:47+0200,0.492,goedgekeurd,,
2025-06-02T14:09:46+0200,0.493,goedgekeurd,,
2025-06-02T15:09:47+0200,0.496,goedgekeurd,,
2025-06-02T16:09:46+0200,0.499,goedgekeurd,,
2025-06-02T17:09:47+0200,0.498,goedgekeurd,,
2025-06-02T18:09:47+0200,0.500,goedgekeurd,,
2025-06-02T19:09:48+0200,0.504,goedgekeurd,,
2025-06-02T20:09:47+0200,0.503,goedgekeurd,,
2025-06-02T21:09:48+0200,0.502,goedgekeurd,,
2025-06-02T22:09:48+0200,0.499,goedgekeurd,,
2025-06-02T23:09:48+0200,0.499,goedgekeurd,,
2025-06-03T00:09:48+0200,0.503,goedgekeurd,,
2025-06-03T01:09:48+0200,0.507,goedgekeurd,,
2025-06-03T02:09:48+0200,0.508,goedgekeurd,,
2025-06-03T03:09:49+0200,0.510,goedgekeurd,,
2025-06-03T04:09:49+0200,0.512,goedgekeurd,,
2025-06-03T05:09:50+0200,0.513,goedgekeurd,,
2025-06-03T06:09:48+0200,0.514,goedgekeurd,,
2025-06-03T07:09:48+0200,0.517,goedgekeurd,,
2025-06-03T08:09:49+0200,0.513,goedgekeurd,,
2025-06-03T09:09:48+0200,0.517,goedgekeurd,,
2025-06-03T10:09:49+0200,0.521,goedgekeurd,,
2025-06-03T11:09:49+0200,0.517,goedgekeurd,,
2025-06-03T12:09:49+0200,0.521,goedgekeurd,,
2025-06-03T13:09:49+0200,0.522,goedgekeurd,,
2025-06-03T14:09:50+0200,0.521,goedgekeurd,,
2025-06-03T15:09:50+0200,0.521,goedgekeurd,,
2025-06-03T16:09:49+0200,0.528,goedgekeurd,,
