time,value,status_quality_control,censor_reason,censor_limit
2025-06-01T00:06:25+0200,0.274,afgekeurd,,
2025-06-01T01:06:25+0200,0.272,afgekeurd,,
2025-06-01T02:06:24+0200,0.277,afgekeurd,,
2025-06-01T03:06:24+0200,0.273,afgekeurd,,
2025-06-01T04:06:25+0200,0.274,afgekeurd,,
2025-06-01T05:06:25+0200,0.275,afgekeurd,,
2025-06-01T06:06:25+0200,0.276,afgekeurd,,
2025-06-01T07:06:25+0200,0.275,afgekeurd,,
2025-06-01T08:06:26+0200,0.275,afgekeurd,,
2025-06-01T09:06:25+0200,0.274,afgekeurd,,
2025-06-01T10:06:25+0200,0.277,afgekeurd,,
2025-06-01T11:06:25+0200,0.278,afgekeurd,,
2025-06-01T12:06:26+0200,0.277,afgekeurd,,
2025-06-01T13:06:26+0200,0.276,afgekeurd,,
2025-06-01T14:06:25+0200,0.278,afgekeurd,,
2025-06-01T15:06:26+0200,0.276,afgekeurd,,
2025-06-01T16:06:26+0200,0.275,afgekeurd,,
2025-06-01T17:06:26+0200,0.274,afgekeurd,,
2025-06-01T18:06:27+0200,0.277,afgekeurd,,
2025-06-01T19:06:26+0200,0.276,afgekeurd,,
2025-06-01T20:06:27+0200,0.273,afgekeurd,,
2025-06-01T21:06:27+0200,0.273,afgekeurd,,
2025-06-01T22:06:27+0200,0.279,afgekeurd,,
2025-06-01T23:06:27+0200,0.273,afgekeurd,,
2025-06-02T00:06:26+0200,0.274,afgekeurd,,
2025-06-02T01:06:27+0200,0.275,afgekeurd,,
2025-06-02T02:06:27+0200,0.273,afgekeurd,,
2025-06-02T03:06:27+0200,0.277,afgekeurd,,
2025-06-02T04:06:27+0200,0.278,afgekeurd,,
2025-06-02T05:06:27+0200,0.276,afgekeurd,,
2025-06-02T06:06:27+0200,0.279,afgekeurd,,
2025-06-02T07:06:27+0200,0.275,afgekeurd,,
2025-06-02T08:06:28+0200,0.275,afgekeurd,,
2025-06-02T09:06:28+0200,0.276,afgekeurd,,
2025-06-02T10:06:28+0200,0.279,afgekeurd,,
2025-06-02T11:06:28+0200,0.276,afgekeurd,,
2025-06-02T12:06:28+0200,0.276,afgekeurd,,
2025-06-02T13:06:28+0200,0.275,afgekeurd,,
2025-06-02T14:06:29+0200,0.275,afgekeurd,,
2025-06-02T15:06:29+0200,0.278,afgekeurd,,
2025-06-02T16:06:29+0200,0.275,afgekeurd,,
2025-06-02T17:06:28+0200,0.278,afgekeurd,,
2025-06-02T18:06:29+0200,0.277,afgekeurd,,
2025-06-02T19:06:29+0200,0.277,afgekeurd,,
2025-06-02T20:06:28+0200,0.275,afgekeurd,,
2025-06-02T21:06:29+0200,0.275,afgekeurd,,
2025-06-02T22:06:29+0200,0.275,afgekeurd,,
2025-06-02T23:06:29+0200,0.278,afgekeurd,,
2025-06-03T00:06:29+0200,0.275,afgekeurd,,
2025-06-03T01:06:29+0200,0.277,afgekeurd,,
2025-06-03T02:06:30+0200,0.274,afgekeurd,,
2025-06-03T03:06:30+0200,0.274,afgekeurd,,
2025-06-03T04:06:30+0200,0.274,afgekeurd,,
2025-06-03T05:06:30+0200,0.274,afgekeurd,,
2025-06-03T06:06:30+0200,0.274,afgekeurd,,
2025-06-03T07:06:30+0200,0.274,afgekeurd,,
2025-06-03T08:06:30+0200,0.274,afgekeurd,,
2025-06-03T09:06:30+0200,0.271,afgekeurd,,
2025-06-03T10:06:30+0200,0.275,afgekeurd,,
2025-06-03T11:06:30+0200,0.276,afgekeurd,,
2025-06-03T12:06:31+0200,0.271,afgekeurd,,
2025-06-03T13:06:31+0200,0.273,afgekeurd,,
2025-06-03T14:06:31+0200,0.275,afgekeurd,,
2025-06-03T15:06:31+0200,0.277,afgekeurd,,
2025-06-03T16:06:31+0200,0.270,afgekeurd,,
2025-06-03T17:06:31+0200,0.276,afgekeurd,,
2025-06-03T18:06:31+0200,0.277,afgekeurd,,
2025-06-03T19:06:31+0200,0.280,afgekeurd,,
2025-06-03T20:06:31+0200,0.275,afgekeurd,,
2025-06-03T21:06:31+0200,0.276,afgekeurd,,
2025-06-03T22:06:32+0200,0.272,afgekeurd,,
2025-06-03T23:06:32+0200,0.277,afgekeurd,,
2025-06-04T00:06:32+0200,0.276,afgekeurd,,
2025-06-04T01:06:32+0200,0.275,afgekeurd,,
2025-06-04T02:06:32+0200,0.275,afgekeurd,,
2025-06-04T03:06:32+0200,0.275,afgekeurd,,
2025-06-04T04:06:32+0200,0.274,afgekeurd,,
2025-06-04T05:06:32+0200,0.275,afgekeurd,,
2025-06-04T06:06:32+0200,0.276,afgekeurd,,
2025-06-04T07:06:32+0200,0.277,afgekeurd,,
2025-06-04T08:06:33+0200,0.274,afgekeurd,,
2025-06-04T09:06:33+0200,0.276,afgekeurd,,
2025-06-04T10:06:33+0200,0.278,afgekeurd,,
2025-06-04T11:06:33+0200,0.278,afgekeurd,,
2025-06-04T12:06:33+0200,0.277,afgekeurd,,
2025-06-04T13:06:33+0200,0.276,afgekeurd,,
