ID;aquocode;CASnummer;omschrijving;eenheid;hoedanigheid
3;1112T4ClC2a;630-20-6;1,1,1,2-tetrachloorethaan;ug/l;NVT
4;111TClC2a;71-55-6;1,1,1-trichloorethaan;ug/l;NVT
5;1122T4ClC2a;79-34-5;1,1,2,2-tetrachloorethaan;ug/l;NVT
6;112TClC2a;79-00-5;1,1,2-trichloorethaan;ug/l;NVT
8;11DClC2a;75-34-3;1,1-dichloorethaan;ug/l;NVT
9;11DClC2e;75-35-4;1,1-dichlooretheen;ug/l;NVT
10;11DClC3a;78-99-9;1,1-dichloorpropaan;ug/l;NVT
11;PCDD73;35822-46-9;1,2,3,4,6,7,8-heptachloordibenzo-p-dioxine;ug/l;NVT
12;PCDF131;67562-39-4;1,2,3,4,6,7,8-heptachloordibenzofuraan;ug/l;NVT
13;PCDF134;55673-89-7;1,2,3,4,7,8,9-heptachloordibenzofuraan;ug/l;NVT
14;PCDD66;39227-28-6;1,2,3,4,7,8-hexachloordibenzo-p-dioxine;ug/l;NVT
15;PCDF118;70648-26-9;1,2,3,4,7,8-hexachloordibenzofuraan;ug/l;NVT
16;1234T4ClBen;634-66-2;1,2,3,4-tetrachloorbenzeen;ug/l;NVT
18;1235T4ClBen;634-90-2;1,2,3,5-tetrachloorbenzeen;ug/l;NVT
20;PCDD67;57653-85-7;1,2,3,6,7,8-hexachloordibenzo-p-dioxine;ug/l;NVT
21;PCDF121;57117-44-9;1,2,3,6,7,8-hexachloordibenzofuraan;ug/l;NVT
22;PCDD70;19408-74-3;1,2,3,7,8,9-hexachloordibenzo-p-dioxine;ug/l;NVT
23;PCDF124;72918-21-9;1,2,3,7,8,9-hexachloordibenzofuraan;ug/l;NVT
24;PCDD54;40321-76-4;1,2,3,7,8-pentachloordibenzo-p-dioxine;ug/l;NVT
25;PCDF94;57117-41-6;1,2,3,7,8-pentachloordibenzofuraan;ug/l;NVT
26;123TClBen;87-61-6;1,2,3-trichloorbenzeen;ug/l;NVT
27;123TClC3a;96-18-4;1,2,3-trichloorpropaan;ug/l;NVT
29;123TC1yBen;526-73-8;1,2,3-trimethylbenzeen;ug/l;NVT
30;1245T4ClBen;95-94-3;1,2,4,5-tetrachloorbenzeen;ug/l;NVT
32;124TClBen;120-82-1;1,2,4-trichloorbenzeen;ug/l;NVT
33;124TC1yBen;95-63-6;1,2,4-trimethylbenzeen;ug/l;NVT
35;12DClBen;95-50-1;1,2-dichloorbenzeen;ug/l;NVT
36;12DClC2a;107-06-2;1,2-dichloorethaan;ug/l;NVT
37;12DClC2e;540-59-0;1,2-dichlooretheen;ug/l;NVT
38;12DClC3a;78-87-5;1,2-dichloorpropaan;ug/l;NVT
44;135TClBen;108-70-3;1,3,5-trichloorbenzeen;ug/l;NVT
45;135TC1yBen;108-67-8;1,3,5-trimethylbenzeen;ug/l;NVT
47;13DClBen;541-73-1;1,3-dichloorbenzeen;ug/l;NVT
48;13DClC3a;142-28-9;1,3-dichloorpropaan;ug/l;NVT
54;14DClBen;106-46-7;1,4-dichloorbenzeen;ug/l;NVT
62;1ClNaf;90-13-1;1-chloornaftaleen;ug/l;NVT
73;MCPP;93-65-2;mecoprop;ug/l;NVT
76;bisFolA;80-05-7;bisfenol-A;ug/l;NVT
78;2345T4ClFol;4901-51-3;2,3,4,5-tetrachloorfenol;ug/l;NVT
79;PCDF130;60851-34-5;2,3,4,6,7,8-hexachloordibenzofuraan;ug/l;NVT
80;2346T4ClFol;58-90-2;2,3,4,6-tetrachloorfenol;ug/l;NVT
81;PCDF114;57117-31-4;2,3,4,7,8-pentachloordibenzofuraan;ug/l;NVT
82;234TClAn;634-67-3;2,3,4-trichlooraniline;ug/l;NVT
83;234TClFol;15950-66-0;2,3,4-trichloorfenol;ug/l;NVT
84;2356T4ClFol;935-95-5;2,3,5,6-tetrachloorfenol;ug/l;NVT
86;235TClFol;933-78-8;2,3,5-trichloorfenol;ug/l;NVT
89;236TClFol;933-75-5;2,3,6-trichloorfenol;ug/l;NVT
90;PCDD48;1746-01-6;2,3,7,8-tetrachloordibenzo-p-dioxine;ug/l;NVT
93;23DClAn;608-27-5;2,3-dichlooraniline;ug/l;NVT
94;23DClFol;576-24-9;2,3-dichloorfenol;ug/l;NVT
100;245TClAn;636-30-6;2,4,5-trichlooraniline;ug/l;NVT
101;245TClFol;95-95-4;2,4,5-trichloorfenol;ug/l;NVT
102;245T;93-76-5;2,4,5-trichloorfenoxyazijnzuur;ug/l;NVT
103;245TP;93-72-1;2,4,5-trichloorfenoxypropionzuur;ug/l;NVT
104;246TClAn;634-93-5;2,4,6-trichlooraniline;ug/l;NVT
106;246TClFol;88-06-2;2,4,6-trichloorfenol;ug/l;NVT
108;s2425DClAn;NVT;som 2,4- en 2,5-dichlooraniline;ug/l;NVT
111;24DDD;53-19-0;2,4'-dichloordifenyldichloorethaan;ug/l;NVT
112;24DDE;3424-82-6;2,4'-dichloordifenyldichlooretheen;ug/l;NVT
113;24DDT;789-02-6;2,4'-dichloordifenyltrichloorethaan;ug/l;NVT
114;24DClAn;554-00-7;2,4-dichlooraniline;ug/l;NVT
115;24DClFol;120-83-2;2,4-dichloorfenol;ug/l;NVT
116;24D;94-75-7;2,4-dichloorfenoxyazijnzuur;ug/l;NVT
117;24DB;94-82-6;2,4-dichloorfenoxyboterzuur;ug/l;NVT
124;24DC1yFol;105-67-9;2,4-dimethylfenol;ug/l;NVT
126;25DClAn;95-82-9;2,5-dichlooraniline;ug/l;NVT
127;25DClFol;583-78-8;2,5-dichloorfenol;ug/l;NVT
131;25DNO2Fol;329-71-5;2,5-dinitrofenol;ug/l;NVT
134;26DClAn;608-31-1;2,6-dichlooraniline;ug/l;NVT
135;26DClBenAd;2008-58-4;2,6-dichloorbenzamide;ug/l;NVT
136;26DClFol;87-65-0;2,6-dichloorfenol;ug/l;NVT
138;26DNO2Fol;573-56-8;2,6-dinitrofenol;ug/l;NVT
140;24DP;120-36-5;2,4-dichloorfenoxypropionzuur;ug/l;NVT
145;2ClAn;95-51-2;2-chlooraniline;ug/l;NVT
146;2ClFol;95-57-8;2-chloorfenol;ug/l;NVT
147;2ClNaf;91-58-7;2-chloornaftaleen;ug/l;NVT
154;2C2yTol;611-14-3;2-ethyltolueen;ug/l;NVT
170;2NO2Fol;88-75-5;2-nitrofenol;ug/l;NVT
174;2C3ol;67-63-0;2-propanol;ug/l;NVT
176;345TClAn;634-91-3;3,4,5-trichlooraniline;ug/l;NVT
177;345TClFol;609-19-8;3,4,5-trichloorfenol;ug/l;NVT
178;34DClAn;95-76-1;3,4-dichlooraniline;ug/l;NVT
179;34DClFol;95-77-2;3,4-dichloorfenol;ug/l;NVT
182;34DNO2Fol;577-71-9;3,4-dinitrofenol;ug/l;NVT
185;35DClAn;626-43-7;3,5-dichlooraniline;ug/l;NVT
186;35DClFol;591-35-5;3,5-dichloorfenol;ug/l;NVT
197;3ClAn;108-42-9;3-chlooraniline;ug/l;NVT
198;3ClFol;108-43-0;3-chloorfenol;ug/l;NVT
202;3C2yTol;620-14-4;3-ethyltolueen;ug/l;NVT
213;3NO2Fol;554-84-7;3-nitrofenol;ug/l;NVT
215;44DDD;72-54-8;4,4'-dichloordifenyldichloorethaan;ug/l;NVT
216;44DDE;72-55-9;4,4'-dichloordifenyldichlooretheen;ug/l;NVT
217;44DDT;50-29-3;4,4'-dichloordifenyltrichloorethaan;ug/l;NVT
224;4Cl2C1yFol;1570-64-5;4-chloor-2-methylfenol;ug/l;NVT
225;MCPA;94-74-6;2-methyl-4-chloorfenoxyazijnzuur;ug/l;NVT
226;MCPB;94-81-5;2-methyl-4-chloorfenoxyboterzuur;ug/l;NVT
227;4Cl3C1yFol;59-50-7;4-chloor-3-methylfenol;ug/l;NVT
228;4ClAn;106-47-8;4-chlooraniline;ug/l;NVT
229;4ClFol;106-48-9;4-chloorfenol;ug/l;NVT
232;4C2yTol;622-96-8;4-ethyltolueen;ug/l;NVT
235;4NO2Fol;100-02-7;4-nitrofenol;ug/l;NVT
247;AcNe;83-32-9;acenafteen;ug/l;NVT
248;AcNy;208-96-8;acenaftyleen;ug/l;NVT
251;actntl;75-05-8;acetonitril;mg/l;NVT
254;aclntl;107-13-1;acrylonitril;ug/l;NVT
264;alCl;15972-60-8;alachloor;ug/l;NVT
265;alDcb;116-06-3;aldicarb;ug/l;NVT
266;alDcsfn;1646-88-4;aldicarbsulfon;ug/l;NVT
267;alDcSO;1646-87-3;aldicarbsulfoxide;ug/l;NVT
268;aldn;309-00-2;aldrin;ug/l;NVT
269;aedsfn;959-98-8;alfa-endosulfan;ug/l;NVT
271;aHCH;319-84-6;alfa-hexachloorcyclohexaan;ug/l;NVT
272;cHpClepO;1024-57-3;cis-heptachloorepoxide;ug/l;NVT
273;aC1ysrn;98-83-9;alfa-methylstyreen;ug/l;NVT
282;alltn;584-79-2;allethrin;ug/l;NVT
284;Al;7429-90-5;aluminium;ug/l;nf
285;amtn;834-12-8;ametryn;ug/l;NVT
287;amtl;61-82-5;amitrol;ug/l;NVT
289;NH4;14798-03-9;ammonium;mg/l;Nnf
292;AMPA;1066-51-9;aminomethylfosfonzuur;ug/l;NVT
299;Ant;120-12-7;antraceen;ug/l;NVT
300;antcnn;84-65-1;antrachinon;ug/l;NVT
301;Sb;7440-36-0;antimoon;ug/l;nf
310;As;7440-38-2;arseen;ug/l;nf
323;aslm;3337-71-1;asulam;ug/l;NVT
324;attn;1610-17-9;atraton;ug/l;NVT
325;atzne;1912-24-9;atrazine;ug/l;NVT
327;C2yazfs;2642-71-9;ethylazinfos;ug/l;NVT
328;C1yazfs;86-50-0;methylazinfos;ug/l;NVT
333;Ba;7440-39-3;barium;ug/l;nf
336;benlxl;71626-11-4;benalaxyl;ug/l;NVT
337;benDocb;22781-23-3;bendiocarb;ug/l;NVT
340;bentzn;25057-89-0;bentazon;ug/l;NVT
342;Ben;71-43-2;benzeen;ug/l;NVT
345;BaA;56-55-3;benzo(a)antraceen;ug/l;NVT
346;BaP;50-32-8;benzo(a)pyreen;ug/l;NVT
348;BbF;205-99-2;benzo(b)fluorantheen;ug/l;NVT
351;BghiPe;191-24-2;benzo(ghi)peryleen;ug/l;NVT
353;BkF;207-08-9;benzo(k)fluorantheen;ug/l;NVT
359;benztazl;95-16-9;benzothiazool;ug/l;NVT
361;benzC4yFt;85-68-7;benzylbutylftalaat;ug/l;NVT
362;Be;7440-41-7;beryllium;ug/l;nf
365;bedsfn;33213-65-9;beta-endosulfan;ug/l;NVT
366;bHCH;319-85-7;beta-hexachloorcyclohexaan;ug/l;NVT
374;HCO3;71-52-3;waterstofcarbonaat;mg/l;NVT
375;bfnx;42576-02-3;bifenox;ug/l;NVT
376;biftn;82657-04-3;bifenthrin;ug/l;NVT
382;DEHP;117-81-7;bis(2-ethylhexyl)ftalaat (DEHP);ug/l;NVT
384;Bi;7440-69-9;bismut;ug/l;nf
386;B;7440-42-8;boor;ug/l;nf
390;bromcl;314-40-9;bromacil;ug/l;NVT
391;Br;24959-67-9;bromide;mg/l;nf
392;C2yBrfs;4824-78-6;ethylbromofos;ug/l;NVT
393;C1yBrfs;2104-96-3;methylbromofos;ug/l;NVT
