Waarde;IMBRO;IMBRO/A;Omschrijving
AQUOKIT;✔;✔;Met Aquo-kit berekend oordeel of toetsresultaat
AUTOMATISCH;✔;✔;Niet genormaliseerde automatische waardebepaling
BLAUWAP:2012;✔;✔;Blauwalgenprotocol 2012
CIW;✔;✔;Bepaling klasse (1-5) volgens CIW-methodiek
D1485.96;✔;✔;DIN EN 1485:1996-11
D38405-26.89;✔;✔;DIN 38405-26:1989-04
D38405-27.92;✔;✔;DIN 38405-27:1992-07
D38406-29.99;✔;✔;DIN 38406-29:1999-05
D38407-30.07;✔;✔;DIN 38407-30:2007-12
D38407-42.11;✔;✔;DIN 38407-42:2011-03
D38409-23.10;✔;✔;DIN 38409-23:2010-12
D4030-2.08;✔;✔;DIN 4030-2:2008-06
D51577-1.82;✔;✔;DIN 51577-1:1982-11
DESK;✔;✔;Bepaling klasse door deskundige
EBEO;✔;✔;Bepaling waarde / EBEO-klasse (1-5) volgens EBEO-systematiek
EPA8270CD;✔;✔;US EPA Method 8270D/8270C
GWPROTEU.13;✔;✔;Oordeel deskundige o.b.v. protocol toetsen grondw. 2013 EU
GWPROTNL.13;✔;✔;Oordeel deskundige o.b.v. protocol toetsen grondw. 2013 NL
HH-W10B:2010;✔;✔;HH-10B Analyse van zoöplankton voor EBeo
HH-W11A:2010;✔;✔;HH-11A Inventarisatie van vegetatie
HH-W12B:2010;✔;✔;HH-12B Analyse van macrofauna
HH-W13A:2010;✔;✔;HH-13A Bestandsopname van vis voor de KRW
HH-W7B:2010;✔;✔;HH-7B Analyse van fytoplankton in oppervlaktewater
HH-W8B:2010;✔;✔;HH-8B Analyse van sieralgen in opp.w. met een omkeermicrosc.
HH-W8C:2010;✔;✔;HH-8C Analyse van sieralgen in opp.w. met staande microsc.
HH-W9B:2010;✔;✔;HH-9B Analyse van kiezelwieren in oppervlaktewater
I10048.91;✔;✔;ISO 10048:1991 en
I10260.92;✔;✔;ISO 10260:1992 en
I10301.97;✔;✔;NEN-EN-ISO 10301:1997 en
I10304-1.09;✔;✔;NEN-EN-ISO 10304-1:2009 en
I10304-1.95;✔;✔;NEN-EN-ISO 10304-1:1995 en
I10304-2.96;✔;✔;NEN-EN-ISO 10304-2:1996 en
I10304-3.97;✔;✔;NEN-EN-ISO 10304-3:1997 en
I10304-4.99;✔;✔;NEN-EN-ISO 10304-4:1999 en
I10359-1.92;✔;✔;ISO 10359-1:1992 en
I10359-2.94;✔;✔;ISO 10359-2:1994 en
I10382.03;✔;✔;NEN-ISO 10382:2003 en
I10523.08;✔;✔;NEN-ISO 10523:2008 en
I10523.12;✔;✔;NEN-EN-ISO 10523:2012 en
I10523.94;✔;✔;ISO 10523:1994 en
I10530.92;✔;✔;ISO 10530:1992 en
I10566.94;✔;✔;ISO 10566:1994 en
I10695.00;✔;✔;NEN-EN-ISO 10695:2000 en
I10704.12;✔;✔;NEN-ISO 10704:2012 en
I11083.06;✔;✔;NEN-ISO 11083:2006 en
I11083.94;✔;✔;ISO 11083:1994 en
I11369.97;✔;✔;NEN-EN-ISO 11369:1997 en
I11423-1.97;✔;✔;ISO 11423-1:1997 en
I11423-2.97;✔;✔;ISO 11423-2:1997 en
I11731-2.08;✔;✔;NEN-EN-ISO 11731-2:2008 en
I11731.98;✔;✔;ISO 11731:1998 en
I11732.05;✔;✔;NEN-EN-ISO 11732:2005 en
I11885.07;✔;✔;ISO 11885:2007 en
I11885.98;✔;✔;NEN-EN-ISO 11885:1998 en
I11905-1.98;✔;✔;NEN-EN-ISO 11905-1:1998 nl
I11923.97;✔;✔;ISO 11923:1997 en
I11969.97;✔;✔;NEN-EN-ISO 11969:1997 nl
I12010.14;✔;✔;NEN-EN-ISO 12010:2014 en
I12020.00;✔;✔;NEN-EN-ISO 12020:2000 en
I12846.12;✔;✔;NEN-EN-ISO 12846:2012 en
I13358.97;✔;✔;ISO 13358:1997 en
I13395.97;✔;✔;NEN-EN-ISO 13395:1997 nl
I14402.99;✔;✔;NEN-EN-ISO 14402:1999 en
I14403-2.09;✔;✔;NEN-EN-ISO 14403-2:2009 Ontw. en
I14403-2.12;✔;✔;NEN-EN-ISO 14403-2:2012 en
I14403.02;✔;✔;NEN-EN-ISO 14403:2002 en
I14911.99;✔;✔;NEN-EN-ISO 14911:1999 en
I15061.01;✔;✔;NEN-EN-ISO 15061:2001 en
I15089.00;✔;✔;ISO 15089:2000 en
I15586.03;✔;✔;NEN-EN-ISO 15586:2003 en
I15587-1.02;✔;✔;NEN-EN-ISO 15587-1:2002 en
I15587-2.02;✔;✔;NEN-EN-ISO 15587-2:2002 en
I15680.03;✔;✔;NEN-EN-ISO 15680:2003 en
I15681-1.05;✔;✔;NEN-EN-ISO 15681-1:2005 en
I15681-2.05;✔;✔;NEN-EN-ISO 15681-2:2005 en
I15682.01;✔;✔;NEN-EN-ISO 15682:2001 en
I15705.03;✔;✔;NEN-ISO 15705:2003 en
I15913.03;✔;✔;NEN-EN-ISO 15913:2003 en
I15923-1.13;✔;✔;NEN-ISO 15923-1:2013 en
I16264.02;✔;✔;ISO 16264:2002 en
I16264.04;✔;✔;NEN-EN-ISO 16264:2004 en
I16588.03;✔;✔;NEN-EN-ISO 16588:2003 en
I16590.00;✔;✔;ISO 16590:2000 en
I17294-1.06;✔;✔;NEN-EN-ISO 17294-1:2006 en
I17294-2.04;✔;✔;NEN-EN-ISO 17294-2:2004 en
I17294-2.16;✔;✔;NEN-EN-ISO 17294-2:2016 en
I17353.05;✔;✔;NEN-EN-ISO 17353:2005 en
I17380.06;✔;✔;NEN-ISO 17380:2006 en
I17495.03;✔;✔;NEN-EN-ISO 17495:2003 en
I17852.06;✔;✔;ISO 17852:2006 en
I17852.08;✔;✔;NEN-EN-ISO 17852:2008 en
I17858.07;✔;✔;ISO 17858:2007 en
I17993.04;✔;✔;NEN-EN-ISO 17993:2004 en
I18073.04;✔;✔;NEN-ISO 18073:2004 en
I18412.06;✔;✔;NEN-EN-ISO 18412:2006 en
I18856.05;✔;✔;NEN-EN-ISO 18856:2005 en
I18857-1.06;✔;✔;NEN-EN-ISO 18857-1:2006 en
I20179.05;✔;✔;NEN-ISO 20179:2005 en
I22032.06;✔;✔;ISO 22032:2006 en
I22155.05;✔;✔;NEN-ISO 22155:2005 en
I22478.06;✔;✔;NEN-EN-ISO 22478:2006 en
I22743.06;✔;✔;NEN-ISO 22743:2006 en
I23631.06;✔;✔;NEN-EN-ISO 23631:2006 en
I23913.06;✔;✔;NEN-ISO 23913:2006 en
I25101.09;✔;✔;ISO 25101:2009 en
I5663.93;✔;✔;NEN-ISO 5663:1993 en
I5664.04;✔;✔;NEN-ISO 5664:2004 en
I5666.99;✔;✔;ISO 5666:1999 en
I5667-1.94;✔;✔;NEN-ISO 5667-1:1994 en
I5667-11.09;✔;✔;ISO 5667-11:2009 en
