objectid,unicode,x,y,wvp,krw_lichaam,krw_code,grvl150mg,grvl1000mg,filter_zoet_zout,pmg_kwantiteit,krw_kwantiteit,krw_doel,verdroging,project,project_naam,kantonnier,vervanger,logger,evid_terrbeh,evid_terrbeh_txt,vergunning,iwaco,calibratie,lmg_rivm,pmg_kwal_2006,krw_kwal_2006,bestrijd_2006,pmg_kwal_2015,krw_kwal_2015,p2_bestrijd,p3_medisch,p4_industrie,onderhoudsronde,foto,opmerking,getal2,pmg_kwal_2012,krw_kwal_2012,bestrijd_2012,wrsch_verwijderd,em_slimflex_2015,tecontr_aanwezigheidput,veldlabel,pmg_kwal_2017,krw_kwal_2017,perc2bm_2017,perc3en4_2017,bronhouder,nitg_nr,buis_nr,krw_kwantiteit2019,InwinMethLoc
5882,B54E0241-1,49270,367470,WVP1a,,,-213,-663,brak,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54E0241,"1",0,9
5883,B54E0241-2,49270,367470,WVP1a,,,-213,-663,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54E0241,"2",0,9
6929,B54E0241-0,49270,367470,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"1",,0,0,0,0,,,"7",,0,0,0,,,B54E0241,"0",,9
5885,B54E0253-2,46460,363590,,,,-46,-185,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54E0253,"2",0,3
5884,B54E0253-1,46460,363590,DKL,,,-46,-185,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54E0253,"1",0,3
6930,B54E0253-0,46460,363590,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"1",,0,0,0,0,,,"7",,0,0,0,,,B54E0253,"0",,3
6990,B54F0048-0,58870,370020,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"1",,0,0,0,0,,,"7",,0,0,0,,,B54F0048,"0",,3
5974,B54F0055-2,59650,363570,WVP1a,SC4,,-870,-870,zoet,1,1,dekzand,0,0,,O.L.I. de Zutter,,0,0,,0,1,0,0,1,0,,0,0,1,0,0,,"1",bemonsterperiode van 1985 t/m heden,0,1,0,0,,,,,0,0,0,,,B54F0055,"2",1,3
5973,B54F0055-1,59650,363570,WVP1a,,,-870,-870,zoet,1,0,,0,0,,O.L.I. de Zutter,,0,0,,0,1,0,0,1,0,,0,0,0,0,0,,"1",bemonsterperiode van 1985 t/m heden,0,1,0,0,,,,,0,0,0,,,B54F0055,"1",0,3
6998,B54F0057-0,52290,373500,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"1",,0,0,0,0,,,"1",,0,0,0,,,B54F0057,"0",,3
5977,B54F0057-2,52290,373500,WVP1a,,,-311,-761,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0057,"2",0,3
5976,B54F0057-1,52290,373500,WVP1a,,,-311,-761,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0057,"1",0,3
5984,B54F0061-3,53300,370200,WVP1a,SC4,,-129,-579,zout,0,0,zout,0,0,,,,0,0,,0,0,0,0,1,1,,0,1,0,0,0,,"1",bemonsterperiode van 1986 t/m heden,0,1,1,0,,,,,0,1,1,,,B54F0061,"3",0,3
5983,B54F0061-2,53300,370200,WVP1a,,,-129,-579,zout,0,0,,0,0,,,,0,0,,0,0,0,0,1,0,,0,0,0,0,0,,"1",bemonsterperiode van 1986 t/m heden,0,1,0,0,,,,,0,0,0,,,B54F0061,"2",0,3
5982,B54F0061-1,53300,370200,DKL,,,-129,-579,brak,0,0,,0,0,,,,0,0,,0,0,0,0,1,0,,0,0,0,0,0,,"1",bemonsterperiode van 1986 t/m heden,0,1,0,0,,,,,0,0,0,,,B54F0061,"1",0,3
5981,B54F0060-1,59030,372640,WVP2,,,-238,-288,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0060,"1",0,3
7002,B54F0061-0,53300,370200,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,"2016","1",,0,0,0,0,,,"2",,0,0,0,,zeeland,B54F0061,"0",,3
7001,B54F0060-0,59030,372640,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"1",,0,0,0,0,,,"7",,0,0,0,,,B54F0060,"0",,3
5985,B54F0062-1,57180,367520,WVP2,,,-1650,-1650,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0062,"1",0,3
6098,B54H0008-1,51010,362470,WVP1a,,,-1627,-2077,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54H0008,"1",0,3
6099,B54H0008-2,51010,362470,WVP1a,,,-1627,-2077,brak,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54H0008,"2",0,3
5986,B54F0063-1,53300,366440,WVP1a,,,-907,-907,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0063,"1",0,3
6296,B55A0239-1,60250,366450,WVP1a,,,-494,-944,brak,1,0,,0,0,,O.L.I. de Zutter,,0,0,,0,1,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B55A0239,"1",0,3
6001,B54F0074-1,53030,366235,,,,-693,-693,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0074,"1",0,3
5988,B54F0064-2,57770,363610,WVP1a,,,-130,-580,zout,0,0,,0,0,,,,0,0,,0,0,0,0,1,0,,0,0,1,0,0,,"1",bemonsterperiode van 1986 t/m heden,0,1,0,0,,,,,0,0,0,,,B54F0064,"2",0,3
250,B42B0127-1,36920,414415,,,,0,0,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B42B0127,"1",0,9
5987,B54F0064-1,57770,363610,WVP1a,,,-130,-580,deels zoet,0,0,,0,0,,,,0,0,,0,0,0,0,1,0,,0,0,0,0,0,,"1",bemonsterperiode van 1986 t/m heden,0,1,0,0,,,,,0,0,0,,,B54F0064,"1",0,3
6003,B54F0074-3,53030,366235,,,,-693,-693,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0074,"3",0,3
6002,B54F0074-2,53030,366235,WVP1a,,,-693,-693,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0074,"2",0,3
7005,B54F0064-0,57770,363610,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,"2016","1",,0,0,0,0,,,"2",,0,0,0,,zeeland,B54F0064,"0",,3
6007,B54F0076-2,53670,367360,,,,-814,-814,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0076,"2",0,3
6006,B54F0076-1,53670,367360,,,,-814,-814,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0076,"1",0,3
7016,B54F0076-0,53670,367360,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"1",,0,0,0,0,,,"7",,0,0,0,,,B54F0076,"0",,3
6011,B54F0078-2,55680,368120,WVP1a,,,-1055,-1440,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0078,"2",0,3
6010,B54F0078-1,55680,368120,WVP1a,,,-1055,-1440,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0078,"1",0,3
7018,B54F0078-0,55680,368120,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"1",,0,0,0,0,,,"7",,0,0,0,,,B54F0078,"0",,3
6012,B54F0078-3,55680,368120,WVP2,,,-1055,-1440,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0078,"3",0,3
6047,B54F0099-1,50934,368655,DKL,,,-316,-766,,0,0,,0,0,,W.J. Fenijn,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54F0099,"1",0,3
6070,B54G0033-1,47150,360320,WVP1a,,,-1089,-1539,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54G0033,"1",0,3
6297,B55A0239-2,60250,366450,WVP2,,,-494,-944,deels zout,1,0,,0,0,,O.L.I. de Zutter,,0,0,,0,1,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B55A0239,"2",0,3
7249,B55A0242-0,60480,369020,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,"2016","1",,0,0,0,0,,,"0",,0,0,0,,zeeland,B55A0242,"0",,3
6345,B55A0303-1,62843,365054,WVP2,,,-1280,-1280,deels zout,0,0,,0,0,,,,0,1,Evides 81.014,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B55A0303,"1",0,3
3844,B42E0168-0,43052,414772,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"0",,0,0,0,0,,,"8",,0,0,0,,,B42E0168,"0",,9
4234,B43C0281-0,67690,403470,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"1",,0,0,0,0,,,"8",,0,0,0,,,B43C0281,"0",,9
183,B42B0093-2,37770,412523,WVP1a,,,-9027,-9927,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B42B0093,"2",0,9
4323,B47H0034-0,18770,379050,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"1",,0,0,0,0,,,"7",,0,0,0,,,B47H0034,"0",,9
3646,B42D0008-0,31000,401800,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"0",,0,0,0,0,,,"1",,0,0,0,,,B42D0008,"0",,9
5653,B54A0054-1,26610,370250,DKL,,,-1156,-1606,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54A0054,"1",0,9
5654,B54A0054-2,26610,370250,WVP1a,,,-1156,-1606,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54A0054,"2",0,9
5671,B54A0062-1,21570,368980,DKL,,,-291,-741,deels zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",bemonsterperiode van 1989 t/m 1997,0,0,0,0,,,,,0,0,0,,,B54A0062,"1",0,9
5672,B54A0062-2,21570,368980,WVP1a,,,-291,-741,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",bemonsterperiode van 1989 t/m 1997,0,0,0,0,,,,,0,0,0,,,B54A0062,"2",0,9
5673,B54A0062-3,21570,368980,,,,-291,-741,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",bemonsterperiode van 1989 t/m 1997,0,0,0,0,,,,,0,0,0,,,B54A0062,"3",0,9
5736,B54B0063-1,34300,371970,DKL,,,-20,-413,brak,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54B0063,"1",0,9
5740,B54B0065-1,38030,370130,WVP1a,,,-24,-449,brak,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"1",,0,0,0,0,,,,,0,0,0,,,B54B0065,"1",0,9
8,B42B0002-4,37306,413776,WVP1a,,,-8068,-8968,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B42B0002,"4",0,9
9,B42B0003-1,38165,413785,WVP1a,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"1",0,9
10,B42B0003-2,38165,413785,WVP1a,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"2",0,9
11,B42B0003-3,38165,413785,WVP1b,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"3",0,9
12,B42B0003-4,38165,413785,WVP2,,,-9866,-10766,deels zout,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"4",0,9
13,B42B0003-5,38165,413785,WVP2,,,-9866,-10766,zout,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"5",0,9
14,B42B0003-51,38165,413785,,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"51",0,9
15,B42B0003-52,38165,413785,,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"52",0,9
16,B42B0003-53,38165,413785,,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"53",0,9
17,B42B0003-54,38165,413785,,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"54",0,9
18,B42B0003-55,38165,413785,,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"55",0,9
19,B42B0003-56,38165,413785,,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"56",0,9
20,B42B0003-57,38165,413785,,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"57",0,9
21,B42B0003-58,38165,413785,,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"58",0,9
22,B42B0003-59,38165,413785,,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"59",0,9
23,B42B0003-60,38165,413785,,,,-9866,-10766,zoet,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"60",0,9
24,B42B0003-61,38165,413785,,,,-9866,-10766,deels zout,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"61",0,9
25,B42B0003-62,38165,413785,,,,-9866,-10766,zout,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"62",0,9
26,B42B0003-63,38165,413785,,,,-9866,-10766,zout,0,0,,0,0,,,,0,0,Evides 11.029,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,"60",,0,0,0,,,B42B0003,"63",0,9
