NITGcode,X,Y,Bemonsteringsdiepte in m,P1,P2,P3,P4,P5,KRW_OFFCL,UITVOERING UITERLIJK VOOR,UITVOERING_OPM
B42B0066-1,39527,415288,7,1,1,1,1,1,true,12/13/2024,
B42B0066-2,39527,415288,13.56,1,1,0,0,1,false,,
B42B0066-3,39527,415288,23.1,1,1,0,0,0,true,12/13/2024,
B42B0154-1,37761,414316,2.08,1,0,0,0,1,false,,Hangt logger in
B42C0116-1,27916,401177,4.11,1,1,0,0,1,false,,
B42C0116-2,27916,401177,12.58,1,1,0,0,1,false,,
B42C0127-1,25950,400150,5.37,1,1,0,0,1,false,,
B42C0127-2,25950,400150,10.56,1,1,0,0,1,false,,
B42D0057-1,35990,402025,1.5,1,0,0,0,1,false,,
B42D0282-1,38760,410427,5,1,1,0,0,1,false,,
B42D0282-2,38760,410427,16.39,1,1,0,0,1,false,,
B42D0282-3,38760,410427,26.27,1,1,0,0,1,false,,
B42D0473-1,30113,401513,8,1,1,1,1,1,true,12/13/2024,
B42D0473-3,30113,401513,23.1,1,0,0,0,0,false,,
B42D0486-2,30086,400491,9.14,1,1,1,1,1,true,12/13/2024,
B42E0276-1,40605,413410,5.19,1,1,0,0,0,false,,
B42E0276-2,40605,413410,15.19,1,1,1,1,1,true,12/13/2024,
B42E0276-3,40605,413410,40.19,1,1,0,0,0,true,12/13/2024,Minifilter
B42E0043-1,42423,415051,5.72,1,1,0,0,0,false,,
B42E0043-2,42423,415051,19.36,1,1,1,1,1,true,12/13/2024,
B42E0043-3,42423,415051,31.3,1,1,0,0,0,true,12/13/2024,
B42G0050-1,43283,400533,6.35,1,1,1,1,1,false,12/13/2024,
B42G0050-2,43283,400533,12.35,1,1,1,1,1,true,12/13/2024,
B42H0160-1,55375,410663,8,1,1,1,1,1,true,12/13/2024,
B42H0185-1,59541,408646,13,1,0,0,0,0,false,,
B43C0081-2,61348,407060,15.35,1,1,1,1,1,true,12/13/2024,
B43C0284-1,67891,405534,1.48,1,1,1,1,1,false,12/13/2024,
B43C0284-2,67891,405534,19.04,1,0,0,0,0,false,,
B43D0233-1,70110,406593,5.1,1,1,0,0,1,false,,
B43D0233-2,70110,406593,12.35,1,1,0,0,1,false,,
B43D0233-3,70110,406593,20.7,1,1,0,0,1,false,,
B47H0038-2,17570,376170,10.87,1,0,0,0,0,false,,
B48A0122-1,25138,389600,4.8,1,1,1,1,1,true,12/13/2024,
B48A0142-2,28290,397350,17.41,1,0,0,0,0,false,,
B48A0143-1,20276,395560,1.99,1,0,0,0,1,false,,
B48B0162-1,35440,390380,2.88,1,1,1,1,1,false,12/13/2024,
B48B0162-2,35440,390380,9.01,1,1,1,1,1,true,12/13/2024,
B48B0162-3,35440,390380,17.77,1,0,0,0,0,false,,
B48C0156-1,22300,379910,2.16,1,1,0,0,1,false,,
B48C0156-2,22300,379910,18.82,1,1,0,0,1,false,,
B48C0196-1,23925,380100,117,1,1,0,0,0,false,,
B48E0073-1,41968,393749,14.38,1,1,1,1,1,true,12/13/2024,
B48E0161-1,44700,387663,8.3,1,1,1,1,1,true,12/13/2024,
B48E0173-1,46350,392190,16.06,1,1,1,1,1,true,12/13/2024,
B48E0195-1,48800,387760,10.12,1,1,1,1,1,true,12/13/2024,
