Opmerking,NITG-Nr,Putcluster-Nr,OLGA-Nr,Buis-Nr,SUN-Nr,Beherende inst. (Client),Opdrachtgevende inst. (Owner),Gegevensbeherende inst (Admin),Waarnemende inst. (Monitor),X-Co�rdinaat (RD),Y-Co�rdinaat (RD),Inrichtingsdatum,Opruimingsdatum,Primair meetnet,Eerste monsterdatum,Laatste monsterdatum,Aantal monsters,Eerste standmeting,Laatste standmeting,Aantal standen,Opmerking bij Put,Opmerking bij Buis,Opgeruimd,Aangevuld,CCA set (Bronhouder waar de put aan is voorgelegd),field_27,field_28
,B43C0371,,43CP7600,1,19190290B001,De 12landschappen,De 12landschappen,De 12landschappen,De 12landschappen,67845,405170,07-06-1990,-,N,-,-,0,19-06-1990,29-04-2002,135,,,Nee,Nee,12Landschappen,,
,B43C0372,,43CP7601,1,19190290B002B,De 12landschappen,De 12landschappen,De 12landschappen,De 12landschappen,67979,405260,07-06-1990,-,N,-,-,0,19-06-1990,25-11-2009,223,,,Nee,Ja,12Landschappen,,
,B43C0372,,43CP7601,2,19190290B002A,De 12landschappen,De 12landschappen,De 12landschappen,De 12landschappen,67979,405260,07-06-1990,-,N,-,-,0,19-06-1990,25-11-2009,223,,,Nee,Ja,12Landschappen,,
,B43C0373,,43CP7602,1,19190290B003,De 12landschappen,De 12landschappen,De 12landschappen,De 12landschappen,67956,405236,07-06-1990,-,N,-,-,0,19-06-1990,25-11-2009,226,,,Nee,Ja,12Landschappen,,
,B43C0374,B43C0374,43CP7603,1,19190290B004,De 12landschappen,De 12landschappen,De 12landschappen,De 12landschappen,67958,405237,07-06-1990,20-10-1992,N,-,-,0,19-06-1990,28-09-1992,42,,,Ja,Nee,12Landschappen,,
,B43C0375,B43C0374,43CP7603,1,19190290B004,De 12landschappen,De 12landschappen,De 12landschappen,De 12landschappen,67958,405236,20-10-1992,-,N,-,-,0,28-10-1992,16-01-1995,22,,,Nee,Nee,12Landschappen,,
,B43C0376,,43CP7604,1,19190290B006,De 12landschappen,De 12landschappen,De 12landschappen,De 12landschappen,67980,405225,19-06-1990,-,N,-,-,0,19-06-1990,16-01-1995,64,,,Nee,Nee,12Landschappen,,
,B43C0377,,43CP7605,1,19190290B007,De 12landschappen,De 12landschappen,De 12landschappen,De 12landschappen,68104,405338,19-06-1990,-,N,-,-,0,19-06-1990,25-11-2009,223,,,Nee,Ja,12Landschappen,,
,B43C0380,,43CP7608,1,19190290B012B,De 12landschappen,De 12landschappen,De 12landschappen,De 12landschappen,68612,405599,20-06-1990,-,N,-,-,0,26-07-1990,29-06-2009,201,,,Nee,Ja,12Landschappen,,
,B43C0380,,43CP7608,2,19190290B012A,De 12landschappen,De 12landschappen,De 12landschappen,De 12landschappen,68612,405599,20-06-1990,-,N,-,-,0,26-07-1990,27-08-2008,208,,,Nee,Ja,12Landschappen,,
