Opmerking,NITG-Nr,Putcluster-Nr,OLGA-Nr,Buis-Nr,SUN-Nr,Beherende inst. (Client),Opdrachtgevende inst. (Owner),Gegevensbeherende inst (Admin),Waarnemende inst. (Monitor),X-Co�rdinaat (RD),Y-Co�rdinaat (RD),Inrichtingsdatum,Opruimingsdatum,Primair meetnet,Eerste monsterdatum,Laatste monsterdatum,Aantal monsters,Eerste standmeting,Laatste standmeting,Aantal standen,Opmerking bij Put,Opmerking bij Buis,Opgeruimd,Aangevuld,CCA set (Bronhouder waar de put aan is voorgelegd),field_27,field_28
,B48E0285,B48E0285,48EP7800,1,19250610B001,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,42152,396062,29-11-1985,05-03-1987,N,-,-,0,21-05-1986,06-10-1986,7,,,Ja,Nee,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48E0286,B48E0285,48EP7800,1,19250610B001,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,42152,396062,05-03-1987,-,N,-,-,0,22-03-1987,27-11-2018,603,,,Nee,Ja,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48E0287,B48E0287,48EP7801,1,19250610B002,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,42145,396150,29-11-1985,05-03-1987,N,-,-,0,21-05-1986,06-10-1986,5,,,Ja,Nee,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48E0288,B48E0287,48EP7801,1,19250610B002,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,42152,396177,05-03-1987,-,N,-,-,0,22-03-1987,14-05-2008,324,,,Nee,Ja,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48E0289,B48E0289,48EP7802,1,19250610B003,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,42140,396225,29-11-1985,05-03-1987,N,-,-,0,21-05-1986,06-10-1986,3,,,Ja,Nee,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48E0290,B48E0289,48EP7802,1,19250610B003,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,42152,396245,05-03-1987,-,N,-,-,0,22-03-1987,27-11-2018,661,,,Nee,Ja,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48E0291,B48E0291,48EP7803,1,19250610B004,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,42135,396300,29-11-1985,18-03-1996,N,-,-,0,21-05-1986,14-03-1996,175,,,Ja,Nee,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48E0292,B48E0291,48EP7803,1,19250610B004,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,42150,396309,18-03-1996,-,N,-,-,0,28-03-1996,27-11-2018,490,,,Nee,Ja,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48E0293,B48E0293,48EP7804,1,19250610B005,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,42130,396375,29-11-1985,05-03-1987,N,-,-,0,21-05-1986,06-10-1986,7,,,Ja,Nee,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48E0294,B48E0293,48EP7804,1,19250610B005,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,42149,396380,05-03-1987,-,N,-,-,0,22-03-1987,27-11-2018,624,,,Nee,Ja,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48G0238,,48GP7800,1,19250195B001,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,45310,378855,28-11-1985,-,N,-,-,0,20-05-1986,27-11-2018,677,,,Nee,Ja,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48G0239,,48GP7801,1,19250195B002B,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,44350,383290,28-11-1985,-,N,-,-,0,20-05-1986,27-11-2018,684,,,Nee,Ja,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48G0239,,48GP7801,2,19250195B002A,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,44350,383290,28-11-1985,-,N,-,-,0,20-05-1986,27-11-2018,685,,,Nee,Ja,GMW-DAT-40516730_Natuurmonumenten_Complex,,
,B48G0240,,48GP7804,1,19250650B002A,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,47150,385180,19-12-1994,-,N,-,-,0,13-01-1995,16-12-2018,521,,,Nee,Nee,GMW-DAT-40516730_Natuurmonumenten_Simpel,,
,B48G0240,,48GP7804,2,19250650B002B,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,47150,385180,19-12-1994,-,N,-,-,0,13-01-1995,16-12-2018,522,,,Nee,Nee,GMW-DAT-40516730_Natuurmonumenten_Simpel,,
,B48G0241,,48GP7805,1,19250650B004A,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,47450,385300,19-12-1994,-,N,-,-,0,13-01-1995,16-12-2018,521,,,Nee,Nee,GMW-DAT-40516730_Natuurmonumenten_Simpel,,
,B48G0241,,48GP7805,2,19250650B004B,Natuurmonumenten Zeeland en Volkerak,Natuurmonumenten Zeeland en Volkerak,Vereniging Natuurmonumenten,Natuurmonumenten Zeeland en Volkerak,47450,385300,19-12-1994,-,N,-,-,0,13-01-1995,16-12-2018,522,,,Nee,Nee,GMW-DAT-40516730_Natuurmonumenten_Simpel,,
