Label,TARGET_FID,NITG_nr,werk_ID,Xcoord RD,Ycoord RD,beheerder,GBD_NM
Grondwater (bestaand),1,B43C0369,B43C0369,60970.00,411010.00,SBB,Dijkwater
Grondwater (bestaand),2,B43C0391,B43C0391,60922.00,410957.00,SBB,Dijkwater
Grondwater (bestaand),3,B43C0368,B43C0368,60080.00,411160.00,SBB,Dijkwater
Grondwater (bestaand),4,B43C0389,B43C0389,60036.00,411203.00,SBB,Dijkwater
Grondwater (bestaand),5,B43C0390,B43C0390,60030.00,411219.00,SBB,Dijkwater
Grondwater (bestaand),6,P43C0005,P43C0005,60870.00,410910.00,SBB,Schouwe Duiveland (Dijkwater)
Grondwater (bestaand),7,B43C0372,B43C0372,67979.00,405260.00,HZL,Bruintjeskreek
Grondwater (bestaand),8,B43C0377,B43C0377,68104.00,405338.00,HZL,Bruintjeskreek
Grondwater (bestaand),9,B43C0284,B43C0284,67891.00,405534.00,HZL,Bruintjeskreek
Grondwater (bestaand),10,B43C0380,B43C0380,68612.00,405599.00,HZL,Bruintjeskreek
Grondwater (bestaand),11,B43C0381,B43C0381,68569.00,405675.00,HZL,Bruintjeskreek
Grondwater (bestaand),12,B43C0378,B43C0378,68628.00,405570.00,HZL,Bruintjeskreek
Grondwater (bestaand),13,B43C0382,B43C0382,68504.00,405790.00,HZL,Bruintjeskreek
Grondwater (bestaand),14,B43C0384,B43C0384,68420.00,405487.00,HZL,Bruintjeskreek
Grondwater (bestaand),15,B43C0385,B43C0385,68543.00,405720.00,HZL,Bruintjeskreek
Grondwater (bestaand),16,B43C0371,B43C0371,67845.00,405170.00,HZL,Bruintjeskreek
Grondwater (bestaand),17,B43C0373,B43C0373,67956.00,405236.00,HZL,Bruintjeskreek
Grondwater (bestaand),18,B43C0374,B43C0374,67958.00,405237.00,HZL,Bruintjeskreek
Grondwater (bestaand),19,B43C0375,B43C0375,67958.00,405236.00,HZL,Bruintjeskreek
Grondwater (bestaand),20,B43C0376,B43C0376,67980.00,405225.00,HZL,Bruintjeskreek
Grondwater (bestaand),21,B43C0383,B43C0383,67955.00,405295.00,HZL,Bruintjeskreek
Grondwater (bestaand),22,B43D0296,B43D0296,70423.00,401633.00,SBB,Van Haaftenpolder
Grondwater (bestaand),23,B43D0295,B43D0295,70102.00,401872.00,SBB,Van Haaftenpolder
Grondwater (bestaand),24,B43D0297,B43D0297,70158.00,402015.00,SBB,Tholen
Grondwater (bestaand),25,B49A0218,B49A0218,65196.00,394049.00,SBB,Scherpenissepolder
Grondwater (bestaand),26,B49A0257,B49A0257,60458.00,391352.00,HZL,Yerseke moer
Grondwater (bestaand),27,B49A0246,B49A0246,60646.00,390285.00,HZL,Yerseke moer
Grondwater (bestaand),28,B49A0280,B49A0280,60222.00,390718.00,HZL,Yerseke moer
Grondwater (bestaand),29,B49A0284,B49A0284,60629.00,389816.00,HZL,Yerseke moer
Grondwater (bestaand),30,B49A0285,B49A0285,60535.00,390217.00,HZL,Yerseke moer
Grondwater (bestaand),31,B49A0279,B49A0279,60150.00,390557.00,HZL,Yerseke moer
Grondwater (bestaand),32,B49A0286,B49A0286,60436.00,390567.00,HZL,Yerseke moer
Grondwater (bestaand),33,B49A0282,B49A0282,60361.00,390999.00,HZL,Yerseke moer
Grondwater (bestaand),34,B49A0283,B49A0283,60730.00,389390.00,HZL,Yerseke moer
Grondwater (bestaand),35,B49A0281,B49A0281,60359.00,390999.00,HZL,Yerseke moer
