objectid_1,objectid,put,piezometer,sun_code,gebiedscod,peilbuis,lengte_mee,filterdiep,x_rd_crd,y_rd_crd,constructi,min_monito,max_monito,standen,hoogte_mv,peilbuis_n,filter_bov,filter_ond,gegevens_b,eigenaar,beherende_,waarnemer,object,planeenhei,beheergebi,provincial,plan_nr,cmsi_code,statusehs,recreati_1,beheerty_1,projnaam,naam_n2k,beschermin,local_ha_1,local_ha_2,nummer,pas,naam_meetn,sun_code_1,gebiedsc_1,meetpuntco,toelichtin,status
1,9497,B55A0373,1,19550303B003A,19550303,B003A,24.0520547945,1.58,66600,369400,1992-12-01 00:00:00+01,1993-07-15 00:00:00+02,2017-07-28 00:00:00+02,528,0.25,0.89,-1.08,-1.58,Staatsbosbeheer,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,Hontenisse en Hulst,Zeeuws-Vlaanderen,Zeeland-Zuid,Zeeland,62,1606,0,R2,N05.01, , , , , ,0, ,Vlaamse Kreken,19550303B003A,19550303,B003A, ,Afgesloten
2,9498,B55A0373,2,19550303B003B,19550303,B003B,24.0520547945,4.75,66600,369400,1992-12-01 00:00:00+01,1993-07-15 00:00:00+02,2017-07-28 00:00:00+02,528,0.25,0.87,-4.25,-4.75,Staatsbosbeheer,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,Hontenisse en Hulst,Zeeuws-Vlaanderen,Zeeland-Zuid,Zeeland,62,1606,0,R2,N05.01, , , , , ,0, ,Vlaamse Kreken,19550303B003B,19550303,B003B, ,Afgesloten
3,9499,B55A0374,1,19550303B004A,19550303,B004A,24.4712328767,1.78,66640,369385,1992-12-01 00:00:00+01,1993-07-15 00:00:00+02,2017-12-28 00:00:00+01,546,0.39,0.64,-1.14,-1.64,Staatsbosbeheer,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,Hontenisse en Hulst,Zeeuws-Vlaanderen,Zeeland-Zuid,Zeeland,62,1606,0,R2,N05.01, , , , , ,0, ,Vlaamse Kreken,19550303B004A,19550303,B004A, ,Afstoten
4,9500,B55A0374,2,19550303B004B,19550303,B004B,24.4712328767,5.36,66640,369385,1992-12-01 00:00:00+01,1993-07-15 00:00:00+02,2017-12-28 00:00:00+01,546,0.39,0.63,-4.72,-5.22,Staatsbosbeheer,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,Hontenisse en Hulst,Zeeuws-Vlaanderen,Zeeland-Zuid,Zeeland,62,1606,0,R2,N05.01, , , , , ,0, ,Vlaamse Kreken,19550303B004B,19550303,B004B, ,Afstoten
5,7228,B42D0542,1,81151305B002,81151305,B002,22.8904109589,1.68,34328,401081,1994-12-13 00:00:00+01,1995-01-13 00:00:00+01,2017-11-28 00:00:00+01,403,0.66,1.27,-0.52,-1.52,Staatsbosbeheer,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,Veerse Meer,Veerse Meer,Zeeland-Zuid,Zeeland,145,1600,0,R2,N10.02, , , , , ,0, ,Veerse Meer (Schotsman),81151305B002,81151305,B002, ,Afstoten
6,7235,B42D0804,1,81151305B015A,81151305,B015A,9.87945205479,0.35,34501,400414,2005-02-01 00:00:00+01,2008-01-14 00:00:00+01,2017-11-28 00:00:00+01,209,0.25,0.75,0.15,-0.35,Staatsbosbeheer,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,Veerse Meer,Veerse Meer,Zeeland-Zuid,Zeeland,145,1600,0,R2,N10.02, , , , , ,0, ,Veerse Meer (Schotsman),81151305B015A,81151305,B015A, ,Afstoten
7,7236,B42D0805,1,81151305B015B,81151305,B015B,9.87945205479,1.34,34501,400413,2005-02-01 00:00:00+01,2008-01-14 00:00:00+01,2017-11-28 00:00:00+01,209,0.25,0.74,-0.84,-1.34,Staatsbosbeheer,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,Veerse Meer,Veerse Meer,Zeeland-Zuid,Zeeland,145,1600,0,R2,N10.02, , , , , ,0, ,Veerse Meer (Schotsman),81151305B015B,81151305,B015B, ,Afstoten
8,7237,B42D0806,1,81151305B016A,81151305,B016A,8.71232876712,0.35,34462,400468,2005-02-01 00:00:00+01,2008-01-14 00:00:00+01,2016-09-28 00:00:00+02,183,0.38,0.88,0.28,-0.22,Staatsbosbeheer,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,Veerse Meer,Veerse Meer,Zeeland-Zuid,Zeeland,145,1600,0,R2,N10.02, , , , , ,0, ,Veerse Meer (Schotsman),81151305B016A,81151305,B016A, ,Afgesloten
9,7238,B42D0807,1,81151305B016B,81151305,B016B,8.71232876712,1.29,34462,400467,2005-02-01 00:00:00+01,2008-01-14 00:00:00+01,2016-09-28 00:00:00+02,183,0.38,0.88,-0.66,-1.16,Staatsbosbeheer,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,Veerse Meer,Veerse Meer,Zeeland-Zuid,Zeeland,145,1600,0,R2,N10.02, , , , , ,0, ,Veerse Meer (Schotsman),81151305B016B,81151305,B016B, ,Afgesloten
10,7241,B42D0810,1,81151305B018A,81151305,B018A,8.71232876712,0.93,34570,400542,2005-02-01 00:00:00+01,2008-01-14 00:00:00+01,2016-09-28 00:00:00+02,183,0.61,1.13,-0.07,-0.57,Staatsbosbeheer,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,STAATSBOSBEHEER REGIO ZUID,Veerse Meer,Veerse Meer,Zeeland-Zuid,Zeeland,145,1600,0,R2,N10.02, , , , , ,0, ,Veerse Meer (Schotsman),81151305B018A,81151305,B018A, ,Afgesloten
