NITGCode;FilterNo;Grondwaterlichaam;Provincie;Xcoordinate [m];Ycoordinate [m];hasPassedModelQC;Probleem
;;;;;;;
B42B0004;1;Zoet grondwater in duingebieden;Zeeland;;;No;
B42B0004;2;Zoet grondwater in duingebieden;Zeeland;;;No;
B42B0005;1;Zoet grondwater in duingebieden;Zeeland;39277,000;413814,000;No;
B42B0023;1;Zoet grondwater in duingebieden;Zeeland;38880,000;412569,000;No;
B42B0023;2;Zoet grondwater in duingebieden;Zeeland;38880,000;412569,000;Yes;
B42B0032;1;Zoet grondwater in duingebieden;Zeeland;38942,000;412767,000;No;
B42B0032;2;Zoet grondwater in duingebieden;Zeeland;38942,000;412767,000;Yes;
B42B0032;3;Zoet grondwater in duingebieden;Zeeland;38942,000;412767,000;Yes;
B42B0033;1;Zoet grondwater in duingebieden;Zeeland;39846,000;413206,000;No;verkeerde meetperiode
B42B0033;2;Zoet grondwater in duingebieden;Zeeland;39846,000;413206,000;No;verkeerde meetperiode
B42B0040;1;Zoet grondwater in duingebieden;Zeeland;38888,000;415530,000;No;verkeerde meetperiode
B42B0040;2;Zoet grondwater in duingebieden;Zeeland;38888,000;415530,000;No;verkeerde meetperiode
B42B0040;3;Zoet grondwater in duingebieden;Zeeland;38888,000;415530,000;No;verkeerde meetperiode
B42B0040;4;Zoet grondwater in duingebieden;Zeeland;38888,000;415530,000;No;verkeerde meetperiode
B42B0040;5;Zoet grondwater in duingebieden;Zeeland;38888,000;415530,000;No;verkeerde meetperiode
B42B0040;6;Zoet grondwater in duingebieden;Zeeland;38888,000;415530,000;No;verkeerde meetperiode
B42B0040;7;Zoet grondwater in duingebieden;Zeeland;38888,000;415530,000;No;verkeerde meetperiode
B42B0054;1;Zoet grondwater in duingebieden;Zeeland;38140,000;412590,000;No;
B42B0054;3;Zoet grondwater in duingebieden;Zeeland;38140,000;412590,000;Yes;
B42B0054;5;Zoet grondwater in duingebieden;Zeeland;38140,000;412590,000;No;
B42B0063;5;Zoet grondwater in duingebieden;Zeeland;39034,000;415051,000;Yes;
B42B0063;7;Zoet grondwater in duingebieden;Zeeland;39034,000;415051,000;No;
B42B0093;1;Zoet grondwater in duingebieden;Zeeland;37770,000;412523,000;No;
B42B0093;3;Zoet grondwater in duingebieden;Zeeland;37770,000;412523,000;Yes;
B42B0093;4;Zoet grondwater in duingebieden;Zeeland;37770,000;412523,000;No;
B42B0094;1;Zoet grondwater in duingebieden;Zeeland;38490,000;412790,000;No;
B42B0094;2;Zoet grondwater in duingebieden;Zeeland;38490,000;412790,000;Yes;
B42B0094;3;Zoet grondwater in duingebieden;Zeeland;38490,000;412790,000;Yes;
B42B0097;1;Zoet grondwater in duingebieden;Zeeland;38430,000;412790,000;Yes;
B42B0097;2;Zoet grondwater in duingebieden;Zeeland;38430,000;412790,000;No;
B42B0097;3;Zoet grondwater in duingebieden;Zeeland;38430,000;412790,000;Yes;
B42B0099;1;Zoet grondwater in duingebieden;Zeeland;38080,000;412640,000;No;
B42B0099;2;Zoet grondwater in duingebieden;Zeeland;38080,000;412640,000;No;
B42B0099;3;Zoet grondwater in duingebieden;Zeeland;38080,000;412640,000;Yes;
