search,gw_lichaam,diepte_klasse
B42E0043_002,NLGWSC0001,ondiep
B48E0195_001,NLGWSC0004,ondiep
B48B0162_002,NLGWSC0003,ondiep
B48E0173_001,NLGWSC0003,ondiep
B48G0204_001,NLGWSC0005,diep
B54F0061_003,NLGWSC0004,ondiep
B54E0285_001,NLGWSC0005,diep
B54A0055_002,NLGWSC0003,ondiep
B54F0093_001,NLGWSC0005,diep
B54A0056_002,NLGWSC0003,ondiep
B54H0010_002,NLGWSC0003,ondiep
B55A0245_002,NLGWSC0003,ondiep
B49A0232_002,NLGWSC0004,ondiep
B54H0011_002,NLGWSC0002,ondiep
B55A0340_001,NLGWSC0005,diep
B55A0341_001,NLGWSC0005,diep
B43C0284_001,NLGWSC0004,ondiep
B55A0244_001,NLGWSC0004,ondiep
B49D0060_001,NLGWSC0004,ondiep
B48B0162_001,NLGWSC0003,ondiep
B48H0256_002,NLGWSC0004,diep
B54B0067_001,NLGWSC0003,ondiep
B48F0173_001,NLGWSC0003,ondiep
B42G0050_001,NLGWSC0004,ondiep
B48E0073_001,NLGWSC0004,ondiep
B54A0058_003,NLGWSC0003,ondiep
B54B0067_002,NLGWSC0004,ondiep
B54A0058_001,NLGWSC0003,ondiep
B54F0056_001,NLGWSC0003,ondiep
B48H0124_002,NLGWSC0004,ondiep
B54A0056_003,NLGWSC0004,diep
B54A0055_003,NLGWSC0003,diep
B54F0054_002,NLGWSC0002,ondiep
B54A0058_002,NLGWSC0003,ondiep
B54F0045_002,NLGWSC0004,diep
B54F0054_001,NLGWSC0002,ondiep
B54F0093_002,NLGWSC0005,diep
B54E0231_002,NLGWSC0003,ondiep
B54B0066_002,NLGWSC0004,diep
B42E0043_003,NLGWSC0001,diep
B47H0038_002,NLGWSC0004,ondiep
B54H0010_003,NLGWSC0003,ondiep
B49D0060_005,NLGWSC0004,diep
B49D0060_004,NLGWSC0004,diep
B49D0060_003,NLGWSC0004,diep
B49D0060_002,NLGWSC0004,ondiep
B49B0556_002,NLGWSC0004,diep
B49B0555_002,NLGWSC0004,diep
B49B0555_001,NLGWSC0004,ondiep
B55A0241_002,NLGWSC0004,ondiep
B42E0043_001,NLGWSC0001,ondiep
B55A0244_002,NLGWSC0004,diep
B42G0050_002,NLGWSC0004,ondiep
B48E0224_001,NLGWSC0005,diep
B42H0185_001,NLGWSC0004,ondiep
B43C0081_002,NLGWSC0004,ondiep
B48C0196_001,NLGWSC0005,diep
B48B0162_003,NLGWSC0004,diep
B48A0142_002,NLGWSC0004,diep
B43C0284_002,NLGWSC0004,ondiep
B42D0486_001,NLGWSC0004,ondiep
B48H0291_001,NLGWSC0005,diep
B48C0156_001,NLGWSC0004,ondiep
B49D0117_001,NLGWSC0004,ondiep
B42D0282_001,NLGWSC0001,ondiep
B48A0143_001,NLGWSC0004,ondiep
B42B0066_001,NLGWSC0001,ondiep
B42B0066_003,NLGWSC0001,diep
B42D0473_001,NLGWSC0001,ondiep
B42D0473_003,NLGWSC0001,diep
B42E0009_001,NLGWSC0001,ondiep
B42E0009_002,NLGWSC0001,ondiep
B42E0009_003,NLGWSC0001,diep
B48A0122_001,NLGWSC0001,ondiep
B48E0161_001,NLGWSC0003,ondiep
B48F0136_001,NLGWSC0003,ondiep
B42H0160_001,NLGWSC0003,ondiep
B54F0070_001,NLGWSC0003,ondiep
B55A0213_002,NLGWSC0002,ondiep
B55A0256_001,NLGWSC0002,ondiep
B55A0296_001,NLGWSC0002,ondiep
B55A0306_001,NLGWSC0002,ondiep
B42C0127_001,NLGWSC0001,ondiep
B42D0057_001,NLGWSC0004,ondiep
B42B0154_001,NLGWSC0001,ondiep
