time,value,status_quality_control,censor_reason,censor_limit
2025-06-01T00:28:29+0200,2.717,afgekeurd,,
2025-06-01T01:28:29+0200,2.722,afgekeurd,,
2025-06-01T02:28:29+0200,2.724,afgekeurd,,
2025-06-01T03:28:29+0200,2.720,afgekeurd,,
2025-06-01T04:28:30+0200,2.715,afgekeurd,,
2025-06-01T05:28:30+0200,2.720,afgekeurd,,
2025-06-01T06:28:30+0200,2.720,afgekeurd,,
2025-06-01T07:28:30+0200,2.720,afgekeurd,,
2025-06-01T08:28:31+0200,2.719,afgekeurd,,
2025-06-01T09:28:31+0200,2.720,afgekeurd,,
2025-06-01T10:28:31+0200,2.721,afgekeurd,,
2025-06-01T11:28:31+0200,2.722,afgekeurd,,
2025-06-01T12:28:32+0200,2.734,afgekeurd,,
2025-06-01T13:28:32+0200,2.729,afgekeurd,,
2025-06-01T14:28:31+0200,2.717,afgekeurd,,
2025-06-01T15:28:31+0200,2.719,afgekeurd,,
2025-06-01T16:28:31+0200,2.724,afgekeurd,,
2025-06-01T17:28:32+0200,2.728,afgekeurd,,
2025-06-01T18:28:32+0200,2.731,afgekeurd,,
2025-06-01T19:28:33+0200,2.718,afgekeurd,,
2025-06-01T20:28:33+0200,2.726,afgekeurd,,
2025-06-01T21:28:33+0200,2.718,afgekeurd,,
2025-06-01T22:28:33+0200,2.705,afgekeurd,,
2025-06-01T23:28:33+0200,2.718,afgekeurd,,
2025-06-02T00:28:34+0200,2.718,afgekeurd,,
2025-06-02T01:28:33+0200,2.715,afgekeurd,,
2025-06-02T02:28:33+0200,2.718,afgekeurd,,
2025-06-02T03:28:34+0200,2.718,afgekeurd,,
2025-06-02T04:28:34+0200,2.717,afgekeurd,,
2025-06-02T05:28:35+0200,2.717,afgekeurd,,
2025-06-02T06:28:34+0200,2.716,afgekeurd,,
2025-06-02T07:28:35+0200,2.719,afgekeurd,,
2025-06-02T08:28:35+0200,2.713,afgekeurd,,
2025-06-02T09:28:35+0200,2.718,afgekeurd,,
2025-06-02T10:28:35+0200,2.715,afgekeurd,,
2025-06-02T11:28:35+0200,2.717,afgekeurd,,
2025-06-02T12:28:35+0200,2.719,afgekeurd,,
2025-06-02T13:28:35+0200,2.720,afgekeurd,,
2025-06-02T14:28:36+0200,2.716,afgekeurd,,
2025-06-02T15:28:36+0200,2.719,afgekeurd,,
2025-06-02T16:28:36+0200,2.718,afgekeurd,,
2025-06-02T17:28:36+0200,2.719,afgekeurd,,
2025-06-02T18:28:36+0200,2.716,afgekeurd,,
2025-06-02T19:28:37+0200,2.717,afgekeurd,,
2025-06-02T20:28:37+0200,2.717,afgekeurd,,
2025-06-02T21:28:37+0200,2.718,afgekeurd,,
2025-06-02T22:28:37+0200,2.716,afgekeurd,,
2025-06-02T23:28:37+0200,2.716,afgekeurd,,
2025-06-03T00:28:38+0200,2.717,afgekeurd,,
2025-06-03T01:28:38+0200,2.717,afgekeurd,,
2025-06-03T02:28:38+0200,2.716,afgekeurd,,
2025-06-03T03:28:38+0200,2.723,afgekeurd,,
2025-06-03T04:28:38+0200,2.728,afgekeurd,,
2025-06-03T05:28:39+0200,2.739,afgekeurd,,
2025-06-03T06:28:39+0200,2.744,afgekeurd,,
2025-06-03T07:28:39+0200,2.730,afgekeurd,,
2025-06-03T08:28:39+0200,2.737,afgekeurd,,
2025-06-03T09:28:39+0200,2.745,afgekeurd,,
2025-06-03T10:28:39+0200,2.760,goedgekeurd,,
2025-06-03T11:28:39+0200,2.767,goedgekeurd,,
2025-06-03T12:28:40+0200,2.766,goedgekeurd,,
2025-06-03T13:28:40+0200,2.770,goedgekeurd,,
